Rank,Company,RevenueMil,RevenuePerCng,ProfitsMil,ProfitsPerCng,AssetsMil,EmployeeCount,RankCng,YearsOnList,Hqcity,HqCountry,IndustrySector
196,Hitachi,67314,-0.16,4082,-0.15,80818,268655,-43,30,Tokyo,Japan,"Electronics, Electrical Equipment"
197,Roche Group,67270,-0.03,12797,-0.02,107534,103605,-13,30,Basel,Switzerland,Pharmaceuticals
198,Wilmar International,67155,-0.09,1525,-0.37,61809,114123,-24,16,Singapore,Singapore,Food Production
199,Caterpillar,67060,0.13,10335,0.54,87476,113200,31,30,Deerfield,United States,Construction and Farm Machinery
200,Banco Bilbao Vizcaya Argentaria,66978,0.46,8669,0.28,856592,121486,118,30,Madrid,Spain,Commercial Banks
201,Korea Electric Power,66977,0.23,-3692,,185048,48696,57,30,Naju,South Korea,Utilities
202,MetLife,66905,-0.04,1578,-0.38,687584,45000,-19,30,New York,United States,"Insurance: Life, Health (stock)"
203,AEON,66727,-0.02,312,0.96,86486,381084,-14,30,Chiba,Japan,Specialty Retailers: Other
204,Lloyds Banking Group,66698,4,6786,0.01,1123443,62569,,29,London,United Kingdom,Commercial Banks
205,Deutsche Bank,65978,0.56,6845,0.2,1454900,90130,149,30,Frankfurt,Germany,Commercial Banks
206,China Vanke,65790,-0.12,1718,-0.49,212020,131097,-33,9,Shenzhen,China,Real Estate
207,HCA Healthcare,64968,0.08,5242,-0.07,56211,265000,19,30,Nashville,United States,Health Care: Medical Facilities
208,Sumitomo Mitsui Financial Group,64718,0.43,6663,0.12,1952365,120373,113,30,Tokyo,Japan,Commercial Banks
209,LG Electronics,64491,-0.01,546,-0.41,46503,74000,-5,24,Seoul,South Korea,"Electronics, Electrical Equipment"
210,Unilever,64436,0.02,7013,-0.13,83130,128377,,30,London,United Kingdom,Household Products
211,Accenture,64112,0.04,6872,0,51245,732819,9,23,Dublin,Ireland,Information Technology Services
212,Barclays,63801,0.42,6536,-0.11,1883109,92400,113,30,London,United Kingdom,Commercial Banks
