"country_region_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"IN","2021-02-17",-13.9166666666667,26.8072916666667,-6.73263888888889,1.19618055555556,-10.8836805555556,6.453125
"IT","2021-02-17",-29.152,-3.232,-3.936,-32.768,-22.768,9.056
"NG","2021-02-17",-7.86842105263158,5.81578947368421,-13.6052631578947,9,-15.4473684210526,9.1578947368421
"US","2021-02-17",-24.0584307178631,-8.72621035058431,-22.7746243739566,-32.4006677796327,-36.0868113522538,13.1068447412354
"ZA","2021-02-17",-17.6,-3.9,-37.8,-28.7,-19,12.2
"AU","2021-02-18",-7.45652173913043,2.71739130434783,-8.59420289855072,-29.3695652173913,-8.6231884057971,4.90579710144928
"BR","2021-02-18",-18.0659025787966,13.7392550143266,-26.1404011461318,-15.5845272206304,-3.02292263610315,5.76504297994269
"GB","2021-02-18",-51.4624624624625,-11.1771771771772,18.5975975975976,-55.1141141141141,-51.5735735735736,19.8468468468468
"IN","2021-02-18",-14.8615916955017,25.8840830449827,-8.49480968858131,-0.941176470588235,-9.55190311418685,7.72318339100346
"IT","2021-02-18",-28.9365079365079,-1.00793650793651,-4.93650793650794,-31.6428571428571,-21.5555555555556,8.98412698412698
"NG","2021-02-18",-3.83783783783784,6.16216216216216,-16.4864864864865,7.67567567567568,-16.4594594594595,9.35135135135135
"US","2021-02-18",-31.5862068965517,-17.9031198686371,-32.6174055829228,-36.7027914614122,-39.5270935960591,16.1461412151067
"ZA","2021-02-18",-16.1,-0.9,-38.7,-28.3,-19.6,12
"AU","2021-02-19",-5,3.31428571428571,-3.66428571428571,-26.6714285714286,-6.63571428571429,3.59285714285714
"BR","2021-02-19",-18.0813008130081,14.2981029810298,-26.1951219512195,-17.4363143631436,-0.303523035230352,5.7940379403794
"GB","2021-02-19",-55,-10.774011299435,2.05367231638418,-56.2062146892655,-50.4152542372881,20.3305084745763
"IN","2021-02-19",-14.1563573883162,28.1185567010309,-7.28006872852234,-0.707903780068729,-8.85223367697595,8.12027491408935
"IT","2021-02-19",-30.0396825396825,1.8968253968254,-1.64285714285714,-31.484126984127,-21.6984126984127,9.3015873015873
"NG","2021-02-19",-8.45,3,-15.225,6.775,-14.75,9.5
"US","2021-02-19",-25.5,-13.797124600639,-27.6821086261981,-31.9345047923323,-33.0431309904153,13.7843450479233
"ZA","2021-02-19",-18.8,-5.3,-38.4,-24.1,-18.1,10.9
"AU","2021-02-20",-0.637795275590551,2.18897637795276,12.0393700787402,-26.488188976378,-2.08661417322835,1.70866141732283
"BR","2021-02-20",-19.1102362204724,15.7244094488189,-23.9081364829396,-19.4566929133858,2.58792650918635,5.33333333333333
"GB","2021-02-20",-59.0490463215259,-12.4523160762943,5.28610354223433,-57.9155313351499,-27.8256130790191,12.9073569482289
"IN","2021-02-20",-13.3367697594502,28.3058419243986,-4.33505154639175,-1.11340206185567,-4.43470790378007,7.04639175257732
"IT","2021-02-20",-32.9523809523809,-2.94444444444444,18.5079365079365,-31.4365079365079,-20.4047619047619,7.57142857142857
"NG","2021-02-20",-3.55,8.1,-9.925,6.925,-7.875,6.775
"US","2021-02-20",-18.5907534246575,-7.32020547945205,-3.29109589041096,-22.2928082191781,-9.89212328767123,5.72602739726027
"ZA","2021-02-20",-19.5555555555556,-4.22222222222222,-36.4444444444444,-29.5555555555556,-5.44444444444444,9.77777777777778
"AU","2021-02-21",-3.45614035087719,1.30701754385965,3.94736842105263,-28.7631578947368,-5.05263157894737,2.01754385964912
"BR","2021-02-21",-26.8152492668622,10.1055718475073,-24.258064516129,-24.3782991202346,1.05278592375367,6.21994134897361
"GB","2021-02-21",-58.5963855421687,-17.2861445783133,29.2620481927711,-51.9638554216867,-25.7078313253012,9.59036144578313
"IN","2021-02-21",-14.5940766550523,25.0627177700348,0.43205574912892,-1.8205574912892,-8.37108013937282,7.29442508710801
"IT","2021-02-21",-43.9516129032258,-24.7016129032258,14.6048387096774,-34.8548387096774,-18.5403225806452,7.39516129032258
"NG","2021-02-21",-9.42424242424242,1.06060606060606,-13.8484848484848,0.878787878787879,-11.2121212121212,8.3030303030303
"US","2021-02-21",-17.6858168761221,-9.54937163375224,-6.29622980251346,-22.8258527827648,-12.2190305206463,4.97127468581688
"ZA","2021-02-21",-24.2222222222222,-7.55555555555556,-36,-34.2222222222222,-10.5555555555556,10.6666666666667
"AU","2021-02-22",-9.79856115107914,1.79856115107914,-10.5611510791367,-26.7194244604317,-6.8705035971223,4.20863309352518
"BR","2021-02-22",-22.463768115942,9.11304347826087,-33.1188405797101,-17.5826086956522,-1.49275362318841,6.03768115942029
"GB","2021-02-22",-49.8867924528302,-15.1289308176101,16.314465408805,-53.1603773584906,-46.8899371069182,17.6352201257862
"IN","2021-02-22",-13.7125645438898,27.7538726333907,-3.23752151462995,-1.78313253012048,-9.48537005163511,7.03270223752151
"IT","2021-02-22",-29.024,-3,0.072,-32.664,-21.136,8.064
"NG","2021-02-22",-4.38235294117647,6.88235294117647,-11.0588235294118,7.55882352941176,-13.7352941176471,9.70588235294118
"US","2021-02-22",-20.1028667790894,-11.2664418212479,-17.5834738617201,-26.9274873524452,-28.6239460370995,10.0826306913997
"ZA","2021-02-22",-24.4,-11.4,-41.1,-31.2,-19.1,12.4
"AU","2021-02-23",-9.97887323943662,0.147887323943662,-16.8098591549296,-28,-9.04225352112676,4.56338028169014
"BR","2021-02-23",-22.7126436781609,9.27586206896552,-32.9942528735632,-17.8936781609195,-3.36206896551724,6.16666666666667
"GB","2021-02-23",-50.993993993994,-13.039039039039,15.2462462462462,-54,-46.6666666666667,18.1741741741742
"IN","2021-02-23",-13.9931034482759,26.6241379310345,-5.25,-1.29310344827586,-9.72586206896552,7.61551724137931
"IT","2021-02-23",-27.4126984126984,-1.41269841269841,14.1190476190476,-30.547619047619,-21.2222222222222,7.93650793650794
"NG","2021-02-23",-3.68421052631579,10.1842105263158,-11.5789473684211,8.5,-14.2894736842105,9.57894736842105
"US","2021-02-23",-15.6441605839416,-6.84671532846715,2.12226277372263,-25.6970802919708,-29.0310218978102,9.53102189781022
"ZA","2021-02-23",-21.4,-10,-41.4,-28.2,-18.9,11.6
"AU","2021-02-24",-8.33802816901408,1.23239436619718,-14.7676056338028,-27.6830985915493,-7.76056338028169,4.72535211267606
"BR","2021-02-24",-23.4453781512605,8.52380952380952,-33.3725490196078,-17.109243697479,-2.15126050420168,6.84033613445378
"GB","2021-02-24",-51.4604105571848,-12.0469208211144,11.1348973607038,-53.5513196480938,-45.4310850439883,18.5014662756598
"IN","2021-02-24",-12.8979238754325,29.0622837370242,-6.7318339100346,0.546712802768166,-7.40484429065744,7.41349480968858
"IT","2021-02-24",-27.9193548387097,-1.09677419354839,14.1290322580645,-29.758064516129,-20.5967741935484,8.12903225806452
"NG","2021-02-24",-4.17948717948718,9.35897435897436,-12.3589743589744,5.69230769230769,-12.7692307692308,10.2564102564103
"US","2021-02-24",-13.3613138686131,-6.28467153284672,6.98540145985401,-23.6751824817518,-28.8047445255474,9.33759124087591
"ZA","2021-02-24",-19,-8.2,-39.9,-30.7,-18,12.4
"AU","2021-02-25",-7.94890510948905,1.08759124087591,-9.56934306569343,-26.4306569343066,-8.24087591240876,4.43795620437956
"BR","2021-02-25",-21.8285714285714,12.6057142857143,-34.2171428571429,-17.7914285714286,-2.02,6.66857142857143
"GB","2021-02-25",-49.9480122324159,-8.81651376146789,27.3211009174312,-52.0091743119266,-45.8746177370031,18.2996941896024
"IN","2021-02-25",-13.6678141135972,27.6196213425129,-7.2960413080895,-0.733218588640275,-8.47676419965577,7.72805507745267
"IT","2021-02-25",-28.0396825396825,0.595238095238095,13.0793650793651,-29.2460317460317,-21.1031746031746,8.33333333333333
"NG","2021-02-25",-1.61111111111111,9.66666666666667,-13.9722222222222,11.2777777777778,-14.9444444444444,9.61111111111111
"US","2021-02-25",-15.3931777378815,-7.33931777378815,-2.01077199281867,-23.5673249551167,-28.6876122082585,9.66068222621185
"ZA","2021-02-25",-3.3,12.9,-39.1,-25.4,-17.2,10.1
"AU","2021-02-26",-4.02142857142857,4.02857142857143,-0.528571428571429,-23.7142857142857,-6.11428571428571,2.76428571428571
"BR","2021-02-26",-22.2248677248677,16.1878306878307,-36.3994708994709,-19.2354497354497,-0.0211640211640212,6.8994708994709
